GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,RESIDENCE_STRATUM,SOCIAL_SUPPORT,HOUSEHOLD_SIZE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,REFRIGERATOR,PHONE,MOBILE,HOUSEHOLD_INCOME,JOB,PUBLIC_SCHOOL,SCHOOL_TYPE,QR_PRO,ENG_PRO
F,3.0,4.0,Independent,Operator,3.0,Level 2,3.0,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,99,90
M,2.0,4.0,Technical or professional level employee,Operator,3.0,Level 3,6.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,81,91
F,0.5,1.5,Independent,Home,1.0,Level 1,3.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,13,17
M,2.0,1.5,Independent,Home,2.0,Level 2,3.0,No,No,No,No,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,84,20
M,1.0,2.0,Operator,Independent,1.0,Level 1,8.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,85,33
M,2.0,3.0,Independent,Technical or professional level employee,2.0,Level 1,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,57,39
F,2.0,3.0,Independent professional,Home,1.0,Level 1,5.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,55,8
M,2.5,1.0,Independent professional,Home,1.0,Level 1,6.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,56,21
M,0.5,1.0,Independent,Home,1.0,Level 1,5.0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,83,25
F,0.0,0.5,Independent,Home,1.0,Level 1,6.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,64,12
F,2.0,2.0,Other occupation,Other occupation,2.0,Level 1,3.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.0,0.0,yes,TECHNICAL,2,48
F,3.0,2.0,Small entrepreneur ,Other occupation,2.0,None,5.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,73,83
F,2.0,,Operator,Home,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,1.0,0.0,yes,TECHNICAL,14,3
M,3.0,3.0,Operator,Operator,3.0,None,5.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,25,34
M,2.5,3.0,Auxiliary or Administrative,Auxiliary or Administrative,2.0,None,4.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,73,24
F,3.0,3.0,Operator,Operator,2.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,98,77
M,3.0,3.0,Entrepreneur ,Home,3.0,None,5.0,No,Yes,Yes,No,No,No,No,Yes,Yes,No,3.0,0.0,no,ACADEMIC,92,55
M,2.0,2.0,Independent,Home,1.0,Level 1,4.0,No,No,No,No,No,No,No,No,No,No,2.0,0.0,yes,ACADEMIC,25,35
M,3.0,0.5,Other occupation,Home,2.0,None,4.0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,69,27
M,3.0,1.5,Independent,Home,1.0,Level 1,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,96,64
F,3.0,1.5,Operator,Home,1.0,Level 1,6.0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,43,65
M,3.0,3.0,Operator,Independent professional,2.0,Level 2,5.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,0.0,yes,ACADEMIC,93,35
M,0.0,0.5,Small entrepreneur ,Independent,2.0,None,4.0,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,3.0,0.0,yes,ACADEMIC,57,42
F,1.0,2.0,Independent,Home,1.0,Level 1,6.0,No,No,No,No,No,No,No,No,No,No,2.0,0.0,yes,ACADEMIC,29,39
M,3.0,3.0,Retired,Independent,2.0,Level 2,5.0,No,Yes,No,Yes,No,No,No,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,72,16
M,2.0,2.0,Independent,Home,2.0,None,2.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,93,98
M,3.0,3.0,Independent,Home,2.0,Level 1,9.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,81,51
M,1.0,1.0,Small entrepreneur ,Independent,1.0,Level 1,4.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,2.0,1.0,no,ACADEMIC,60,22
M,1.5,3.0,Independent,Technical or professional level employee,1.0,Level 1,5.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,87,59
M,2.0,3.0,Independent,Home,2.0,Level 2,6.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,11,1
M,2.5,3.0,Independent,Home,1.0,Level 1,4.0,No,Yes,Yes,No,No,No,No,Yes,Yes,No,3.0,0.0,no,ACADEMIC,99,70
M,1.5,1.0,Independent,Home,1.0,Level 1,8.0,No,No,No,Yes,No,No,No,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,74,67
M,3.0,4.0,Independent,Other occupation,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,97,95
M,2.0,2.0,Other occupation,Other occupation,3.0,Level 1,8.0,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,1.0,0.0,yes,TECHNICAL,98,24
M,,,,Home,2.0,None,5.0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL,46,28
F,3.0,3.0,Independent professional,Other occupation,3.0,Level 3,8.0,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL,66,51
M,2.0,2.0,Retired,Auxiliary or Administrative,3.0,Level 1,5.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,3.0,0.0,no,ACADEMIC,97,89
F,3.0,3.0,Independent,Retired,2.0,Level 1,6.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3.0,0.0,yes,ACADEMIC,43,8
F,2.0,1.0,Independent,Home,2.0,Level 2,5.0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,88,21
M,3.0,3.0,Small entrepreneur ,Other occupation,2.0,Level 2,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3.0,0.0,yes,ACADEMIC,27,18
F,2.0,3.0,Technical or professional level employee,Home,1.0,Level 1,4.0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,34,19
F,1.0,1.0,Operator,Home,1.0,Level 1,3.0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,11,26
F,2.0,2.0,Operator,Home,1.0,Level 2,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,ACADEMIC,19,8
M,3.0,3.0,Technical or professional level employee,Entrepreneur ,2.0,None,4.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,4.0,0.0,no,ACADEMIC,100,38
F,3.0,3.0,Technical or professional level employee,Entrepreneur ,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,68,43
F,4.0,3.0,Technical or professional level employee,Technical or professional level employee,1.0,None,7.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,ACADEMIC,73,38
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,2.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,88,78
F,3.0,2.0,Small entrepreneur ,Home,1.0,Level 1,3.0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,50,3
F,2.0,1.0,Operator,Home,2.0,Level 2,3.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,69,45
M,3.0,3.0,Technical or professional level employee,Home,2.0,Level 1,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,80,16
F,2.0,2.0,Retired,Home,1.0,Level 2,5.0,No,No,No,No,No,No,No,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,53,16
M,3.0,1.5,Technical or professional level employee,Home,3.0,Level 3,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,89,47
M,2.0,2.0,Small entrepreneur ,Independent,2.0,Level 2,5.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,97,42
M,2.0,1.0,Small entrepreneur ,Home,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,76,84
F,2.0,2.0,Other occupation,Other occupation,2.0,Level 2,6.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,20,25
M,1.5,0.5,Executive,Home,1.0,None,8.0,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,37,3
M,1.5,1.5,Other occupation,Entrepreneur ,1.0,Level 1,5.0,No,No,No,Yes,No,No,Yes,No,Yes,No,1.0,0.0,yes,ACADEMIC,86,13
M,3.0,3.0,Auxiliary or Administrative,Executive,2.0,Level 2,2.0,No,Yes,No,Yes,No,No,No,No,Yes,No,2.0,0.0,no,ACADEMIC,44,42
F,2.5,2.0,Operator,Home,3.0,None,5.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,47,87
F,2.0,2.0,Independent,Home,2.0,Level 2,5.0,No,Yes,No,No,No,No,No,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,58,96
F,1.5,1.0,Executive,Home,2.0,Level 2,11.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,42,63
M,3.0,3.0,Executive,Technical or professional level employee,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,8,52
F,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,Level 2,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,78,72
F,3.0,3.0,Small entrepreneur ,Independent,2.0,Level 1,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,4.0,0.0,no,ACADEMIC,62,60
M,2.0,2.0,Other occupation,Home,2.0,Level 1,4.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,72,91
M,2.0,2.0,Operator,Home,2.0,Level 2,3.0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,69,86
F,3.0,3.0,Other occupation,Home,2.0,Level 1,8.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,4.0,0.0,no,ACADEMIC,76,12
F,0.5,0.5,Independent,Home,1.0,Level 1,3.0,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL,56,53
M,2.0,3.0,Technical or professional level employee,Independent professional,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,90,89
M,3.0,3.0,Executive,Independent professional,3.0,None,4.0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,3.0,0.0,no,ACADEMIC,68,71
F,3.0,3.0,Independent professional,Technical or professional level employee,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,0.0,no,ACADEMIC,94,93
M,3.0,3.0,Other occupation,Other occupation,5.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,0.0,no,ACADEMIC,77,93
F,3.0,3.0,Independent professional,Independent professional,3.0,None,5.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,79,60
M,3.0,2.0,Technical or professional level employee,Home,4.0,None,5.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,0.0,no,ACADEMIC,97,91
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,4.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,5.0,0.0,no,ACADEMIC,91,85
M,2.0,2.0,Operator,Operator,1.0,Level 1,5.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,95,55
M,,,Independent,Independent,1.0,Level 1,4.0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,99,72
M,3.0,2.5,Technical or professional level employee,Home,1.0,Level 2,4.0,No,Yes,No,No,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,90,97
F,2.0,4.0,Small entrepreneur ,Operator,4.0,Level 1,4.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL,97,46
M,3.0,3.0,Auxiliary or Administrative,Independent,3.0,Level 3,5.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,75,85
M,3.0,2.0,Other occupation,Small entrepreneur ,2.0,None,5.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,96,74
F,0.0,1.0,Independent,Home,3.0,None,6.0,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,97,63
F,2.0,2.0,Other occupation,Retired,1.0,Level 1,4.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,58,80
F,1.0,2.0,Independent,Home,3.0,Level 3,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,64,46
M,2.0,3.0,Independent professional,Technical or professional level employee,1.0,Level 1,6.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,94,90
M,3.0,4.0,Other occupation,Technical or professional level employee,3.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,6,44
M,4.0,4.0,Independent professional,Executive,4.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5.0,2.0,no,ACADEMIC,83,73
M,4.0,3.0,Small entrepreneur ,Technical or professional level employee,2.0,None,3.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,93,91
F,4.0,3.0,Auxiliary or Administrative,Independent professional,4.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,82,67
F,3.0,3.0,Executive,Independent,3.0,None,3.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,ACADEMIC,71,20
M,3.0,3.0,Technical or professional level employee,Auxiliary or Administrative,2.0,None,5.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,3.0,0.0,yes,ACADEMIC,59,59
M,3.0,1.0,Technical or professional level employee,Other occupation,2.0,None,4.0,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,93,59
M,0.0,3.0,Other occupation,Independent professional,3.0,None,5.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,100,97
M,1.5,2.0,Small entrepreneur ,Home,1.0,Level 1,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,73,60
M,2.0,2.0,Independent,Home,1.0,Level 1,8.0,No,No,No,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,95,40
M,2.0,2.0,Independent,Home,1.0,Level 1,6.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,1.0,0.0,yes,ACADEMIC,34,50
F,,0.5,,,3.0,None,6.0,No,No,No,No,No,No,No,Yes,Yes,Yes,4.0,,no,ACADEMIC,85,87
F,1.5,2.0,Independent,Auxiliary or Administrative,2.0,Level 2,6.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL,77,87
M,1.0,1.0,Independent,Home,1.0,Level 1,5.0,No,No,No,No,No,No,No,No,Yes,No,1.0,0.0,yes,ACADEMIC,76,48
F,,,Other occupation,Other occupation,2.0,Level 1,4.0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,55,73
F,,,Other occupation,Other occupation,3.0,Level 2,3.0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,48,49
F,2.0,4.0,Small entrepreneur ,Independent professional,1.0,None,4.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,45,10
M,1.5,1.5,Independent,Home,2.0,Level 2,8.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,59,52
M,1.5,0.5,Retired,Home,3.0,Level 1,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,45,8
F,,,,Home,2.0,None,4.0,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,92,37
M,1.0,1.0,Independent,Independent,2.0,None,6.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,56,29
M,2.0,2.0,Independent,Operator,1.0,None,4.0,No,No,No,No,No,No,Yes,Yes,Yes,No,3.0,0.0,no,ACADEMIC,61,3
M,3.0,3.0,Independent professional,Technical or professional level employee,1.0,Level 1,4.0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,2.0,0.0,no,ACADEMIC,70,67
M,3.0,3.0,Executive,Home,1.0,Level 1,8.0,No,No,No,No,No,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,42,21
M,1.0,3.0,Operator,Independent,2.0,Level 2,3.0,No,Yes,No,Yes,No,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,44,11
M,2.0,3.0,Independent,Other occupation,1.0,Level 1,5.0,No,No,Yes,Yes,No,No,No,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,32,31
M,2.0,3.0,Other occupation,Other occupation,1.0,Level 1,5.0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,89,48
M,1.5,2.0,Independent,Home,1.0,Level 1,4.0,No,No,No,No,No,No,No,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,84,74
M,0.5,1.5,Independent,Home,1.0,Level 1,6.0,No,No,No,No,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,99,58
F,3.0,3.0,Technical or professional level employee,Technical or professional level employee,2.0,Level 1,3.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,50,41
M,2.0,3.0,Technical or professional level employee,Small entrepreneur ,2.0,Level 2,5.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,100,92
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,2.0,Level 1,5.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,0.0,yes,TECHNICAL/ACADEMIC,83,54
F,2.0,3.0,Other occupation,Technical or professional level employee,1.0,Level 2,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL,59,96
F,0.5,0.5,Other occupation,Other occupation,1.0,Level 1,5.0,No,No,No,No,No,No,No,No,Yes,No,1.0,0.0,yes,TECHNICAL,86,64
M,2.0,1.5,Independent,Home,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,65,32
F,,,Small entrepreneur ,Home,1.0,Level 1,3.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,25,21
F,2.0,2.0,Small entrepreneur ,Home,1.0,Level 1,4.0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL,60,52
F,0.5,4.0,Technical or professional level employee,Other occupation,1.0,Level 1,8.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,23,32
F,,,,Home,1.0,Level 1,6.0,No,No,No,No,No,No,Yes,Yes,Yes,No,2.0,0.0,no,ACADEMIC,66,60
M,2.5,1.5,Small entrepreneur ,Independent,3.0,Level 1,3.0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,84,87
F,0.5,1.0,Operator,Home,2.0,Level 1,4.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,25,69
M,1.5,0.5,,,3.0,None,4.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,87,73
M,,3.0,Technical or professional level employee,Technical or professional level employee,2.0,None,2.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,89,75
M,3.0,3.0,Entrepreneur ,Other occupation,5.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,97,45
M,3.0,3.0,Other occupation,Operator,3.0,Level 2,4.0,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,87,72
M,4.0,4.0,Entrepreneur ,Entrepreneur ,5.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,0.0,no,ACADEMIC,99,95
M,3.0,2.5,Independent professional,Operator,3.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,37,37
F,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,Level 1,7.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,84,69
F,1.5,2.0,Operator,Home,1.0,Level 1,4.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,50,39
M,2.0,2.0,Independent,Home,2.0,Level 2,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,100,58
F,0.5,1.0,Independent professional,Independent professional,1.0,Level 2,4.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,15,36
F,2.0,3.0,Independent,Technical or professional level employee,2.0,None,2.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,61,36
M,4.0,3.0,Retired,Home,3.0,None,5.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,99,92
F,1.0,2.0,Small entrepreneur ,Home,1.0,Level 1,4.0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,60,59
M,,,Small entrepreneur ,Home,3.0,None,4.0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,73,53
F,3.0,3.0,Retired,Auxiliary or Administrative,6.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.0,0.0,yes,TECHNICAL/ACADEMIC,85,29
M,3.0,3.0,Entrepreneur ,Other occupation,1.0,Level 1,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3.0,0.0,yes,TECHNICAL/ACADEMIC,47,9
F,3.0,2.5,Technical or professional level employee,Independent professional,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,37,65
M,1.5,2.0,Independent,Executive,2.0,Level 2,5.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,100,77
M,,0.5,,,3.0,None,4.0,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,2.0,,no,ACADEMIC,22,25
F,3.0,2.5,Operator,Home,3.0,None,4.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,71,62
F,4.0,4.0,Operator,Operator,2.0,None,4.0,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,5.0,0.0,yes,TECHNICAL/ACADEMIC,96,91
F,3.0,4.0,Independent professional,Independent professional,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,TECHNICAL/ACADEMIC,95,74
M,1.0,1.0,Independent,Independent,2.0,Level 2,5.0,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,2.0,0.0,yes,TECHNICAL/ACADEMIC,80,58
M,3.0,2.0,Executive,Home,1.0,Level 1,6.0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,1.0,0.0,yes,TECHNICAL/ACADEMIC,67,4
M,,,,,3.0,None,8.0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,,yes,TECHNICAL/ACADEMIC,77,25
